region,district,code,name,type,type_category,ownership_category,ownership_authority,status
Mtwara,Nanyumbu Dc,121070-7,CHINGUILE MISSION,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,121069-9,MASELLE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,121068-1,JIPER,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Mwanza,Ilemela Mc,121067-3,DAVIDSON,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mbeya,Mbeya Cc,121066-5,GOSHEN,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Shinyanga,Kahama Tc,121064-0,MWIME,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Investor(For Foreigners),Operating
Dodoma,Mpwapwa Dc,121063-2,KISOKWE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Mpwapwa Dc,121062-4,SINGONHALI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dodoma,Mpwapwa Dc,121061-6,MUNGUWI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Ubungo Mc,121060-8,GOBA,Health Center,Kituo cha Afya,Public,LGA,Operating
Manyara,Babati Dc,121059-0,MANYARA STAR,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Morogoro,Morogoro Dc,121058-2,PLATINUM MEDICAL CARE,Hospital at Regional Level,Hospitali ya Mkoa (Rufaa),Private,Company/Business Name,Operating
Mwanza,Buchosa Dc,121057-4,ST.PETER CLAVERY,Medical Clinic,Kliniki,Private,Faith Based Organization (FBO),Operating
Dar Es Salaam,Ilala Mc,121055-8,RIMOCARE,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Mwanza,Ilemela Mc,121054-1,JF,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Ilemela Mc,121053-3,JADE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Shinyanga,Kahama Tc,121052-5,AGUSTINO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ubungo Mc,121051-7,MJ MEDICAL LABORATORY - UBUNGO,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,121050-9,MJ MEDICAL LABORATORY,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Investor(For Foreigners),Operating
