region,district,code,name,type,type_category,ownership_category,ownership_authority,status
Mtwara,Nanyumbu Dc,125305-3,MANGAKA HIGH SCHOOL,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Morogoro,Morogoro Dc,125304-6,KIEGEA LIFE CARE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Geita,Bukombe Dc,125303-8,SAN RITA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Kigoma,Kasulu Dc,125302-0,MUZDALIFAH,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Geita,Geita Dc,125301-2,MBALU,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mwanza,Sengerema Dc,125300-4,MNZAVAS COMMUNITY,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Ruvuma,Nyasa Dc,125299-8,MBAHA,Health Center,Kituo cha Afya,Public,LGA,Operating
Mwanza,Ilemela Mc,125285-7,MWANZA DENTAL CARE,Basic Dental Clinic,Kliniki,Private,Company/Business Name,Operating
Coast,Bagamoyo Dc,125284-0,BAGAMOYO SUGAR,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Coast,Kibaha Dc,125283-2,KINYWA,Comprehensive Dental Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Kigamboni Mc,125282-4,NZANYE,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125279-0,CCBRT,Optometry Clinic,Kliniki,Private,NGOs,Operating
Coast,Mkuranga Dc,125273-3,KIPALA,Health Center,Kituo cha Afya,Public,LGA,Operating
Geita,Geita Dc,125272-5,LWAMGASA,Health Center,Kituo cha Afya,Public,LGA,Operating
Mwanza,Magu Dc,125270-9,KISESA VISION CENTRE,Optometry Clinic,Kliniki,Private,For Profit,Operating
Ruvuma,Songea Dc,125269-1,MIPETA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Njombe,Makete Dc,125264-2,IKETE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Songea Dc,125262-6,MPITIMBI A,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Mbeya Cc,125261-8,MATENI,Optometry Clinic,Kliniki,Private,Company/Business Name,Operating
Kagera,Missenyi Dc,125260-0,BWERA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Kagera,Bukoba Dc,125254-3,DANIEL MEMORIAL,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mbeya,Mbeya Cc,125253-5,PARO,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mwanza,Misungwi Dc,125252-7,DOROTHY,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Kilimanjaro,Rombo Dc,125251-9,MATATU,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Coast,Kibaha Dc,125247-7,RUVU,Health Center,Kituo cha Afya,Public,LGA,Operating
Dar Es Salaam,Kinondoni Mc,125246-9,MBEZI EYE,Optometry Clinic,Kliniki,Private,For Profit,Operating
Mwanza,Buchosa Dc,125245-1,B&amp;B OPTICAL SUPPLIERS,Supplying and Distribution unit of Optical,Kingine,Private,Company/Business Name,Operating
Mwanza,Buchosa Dc,125244-4,MAKOROBOI,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,125242-8,SIGHT PLUS,Optometry Clinic,Kliniki,Private,For Profit,Operating
Arusha,Arusha Cc,125241-0,EYE AFYA,Optometry Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,125240-2,EYEDICAL,Optometry Clinic,Kliniki,Private,For Profit,Operating
Arusha,Ngorongoro Dc,125239-4,YASIMDITO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tanga,Pangani Dc,125237-8,MIKINGUNI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Singida,Singida Dc,125230-3,SHIFA&#039;A EYE CARE,Optometry Clinic,Kliniki,Private,For Profit,Operating
Njombe,Njombe Dc,125229-5,TANGIBLE,Optometry Clinic,Kliniki,Private,For Profit,Operating
Kigoma,Kasulu Dc,125226-1,HAVANA,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Kagera,Karagwe Dc,125225-3,ZAIDI MEDICAL CENTRE,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Temeke Mc,125223-8,VIKUNAI MEDICAL,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Katavi,Mlele Dc,125222-0,MORIA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Geita,Geita Dc,125221-2,KIHAKA,Medical Clinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,125220-4,NELA MWANAGATI,Specialized Polyclinic,Kliniki,Private,Company/Business Name,Operating
Arusha,Karatu Dc,125219-6,AMANI,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Simiyu,Bariadi Dc,125218-8,BAMUKAYA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Kilimanjaro,Hai Dc,125216-2,KIA,Health Center,Kituo cha Afya,Public,LGA,Operating
Coast,Kibaha Dc,125209-7,KILIMAHEWA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Kinondoni Mc,125207-1,SINO,Medical Clinic,Kliniki,Private,Company/Business Name,Operating
Kagera,Ngara Dc,125206-3,CHARITYPOINT,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Ubungo Mc,125205-5,LUMBA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Kigamboni Mc,125204-8,SISTERS OF ST. JOSEPH,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Ruvuma,Songea Dc,125203-0,TUNAJALI HEALTHCARE,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Mwanza,Magu Dc,125197-4,REMONA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mara,Tarime Dc,125196-6,KIKOMORI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Tarime Dc,125195-8,NYABIRONGO,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Tarime Dc,125194-1,NYABICHUNE B,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Tarime Dc,125193-3,KITAWASI B,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Tarime Dc,125192-5,KARAKATONGA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Tarime Dc,125191-7,KWISARARA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Tarime Dc,125190-9,KITERERE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Tarime Dc,125189-1,NYAGISYA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Tarime Dc,125188-3,KENYAMOSABI,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Tarime Dc,125187-5,NYABICHUNE,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mara,Tarime Dc,125186-7,MANGUCHA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Mbeya,Kyela Dc,125185-9,JILEKA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Simiyu,Bariadi Dc,125183-4,MWABADIMU,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Ruvuma,Mbinga Dc,125181-8,LANGIRO,Health Center,Kituo cha Afya,Public,LGA,Operating
Geita,Bukombe Dc,125180-0,YUSUPH,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Geita,Chato Dc,125179-2,TAUSI,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Geita,Geita Dc,125178-4,WAWATA,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Mtwara,Mtwara Dc,125169-3,TANZANITE MEDICARE,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Kilimanjaro,Moshi Dc,125168-5,ST RAPHAEL SAMBARAI RC,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Manyara,Simanjiro Dc,125167-7,FAMILY,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dodoma,Dodoma Cc,125166-9,EDOM,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Manyara,Mbulu Dc,125165-1,HHANGALI CARE,Eye Clinic,Kliniki,Private,For Profit,Operating
Shinyanga,Shinyanga Dc,125164-4,GRAMELIK,Medical Clinic,Kliniki,Private,Company/Business Name,Operating
Arusha,Arusha Cc,125163-6,ARUSHA PROSTHETICS AND ORTHOTICS,Prosthetics and Orthotics clinic,Kliniki,Private,For Profit,Operating
Tanga,Handeni Dc,125162-8,RAMEDICS,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Tanga,Tanga Cc,125161-0,CITY CARE MEDICS,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Arusha,Monduli Dc,125160-2,HOPE MEMORIAL,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Singida,Iramba Dc,125159-4,YEKA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Kilimanjaro,Moshi Dc,125158-6,MEGI CARE,Basic Dental Clinic,Kliniki,Private,For Profit,Operating
Mwanza,Buchosa Dc,125157-8,WHITE PEARL DENTAL,Basic Dental Clinic,Kliniki,Private,Company/Business Name,Operating
Arusha,Arusha Cc,125156-0,HEALTH GATE,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Arusha,Arusha Cc,125155-2,ITHNA ASHERI CHARITABLE,Diagnostic Centre,Kingine,Private,Faith Based Organization (FBO),Operating
Singida,Iramba Dc,125154-5,NYOTA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Tanga,Tanga Cc,125153-7,SACHEDINA,Specialised Clinic,Kliniki,Private,For Profit,Operating
Lindi,Ruangwa Dc,125152-9,NGONDO,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dodoma,Dodoma Cc,125151-1,DODOMA MAIBONG SUKIDAR -1,Medical Clinic,Kliniki,Private,Investor(For Foreigners),Operating
Kilimanjaro,Rombo Dc,125150-3,JUDWIL,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Kilimanjaro,Same Dc,125149-5,TWAZI,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Rukwa,Sumbawanga Dc,125148-7,COMESA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mara,Bunda Dc,125147-9,HURUMAH,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Arusha,Meru Dc,125146-1,AMANIKA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Kilimanjaro,Moshi Dc,125145-3,SUMMIT MEDSERVE,PolyClinic,Kliniki,Private,Company/Business Name,Operating
Tanga,Handeni Dc,125144-6,STAMILI,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Manyara,Simanjiro Dc,125143-8,EL-SHADAI,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Kilimanjaro,Moshi Dc,125142-0,KILISMILE,Basic Dental Clinic,Kliniki,Private,NGOs,Operating
Mara,Musoma Dc,125139-6,ALLCARE HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Shinyanga,Shinyanga Dc,125138-8,LUTAWA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Mwanza,Buchosa Dc,125137-0,GODSAYA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Ilemela Mc,125136-2,MAGA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,125135-4,ST CASSIAN,Level IA1 (Health Center Laboratory),Kituo cha Afya,Private,For Profit,Operating
Songwe,Tunduma Tc,125134-7,MTANZANIA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Manyara,Kiteto Dc,125132-1,MWIGEMA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,125131-3,LIULI DIAGNOST CENTER,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Kilosa Dc,125130-5,EBENEZER HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Kigamboni Mc,125129-7,AMCARE MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mara,Rorya Dc,125128-9,SHIVUTA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,NGOs,Operating
Morogoro,Gairo Dc,125125-5,SHAYOH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Kigamboni Mc,125124-8,SOPHIA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Singida,Singida Dc,125123-0,HAADAT HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Arusha,Arusha Cc,125122-2,TEL AVIV,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mara,Musoma Dc,125121-4,MTISAFI MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Mbozi Dc,125120-6,HPM,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Manyara,Kiteto Dc,125119-8,JM SOLOMON,Level IA1 (Health Center Laboratory),Kituo cha Afya,Private,For Profit,Operating
Arusha,Arusha Cc,125118-0,RADIANCE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,125117-2,PEACE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Kilosa Dc,125116-4,DAUDI-ONE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Mbozi Dc,125115-6,HERI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Ifakara Tc,125114-9,NEW ULANGA MEDICAL -IFAKARA,Level IA1 (Health Center Laboratory),Kituo cha Afya,Private,For Profit,Operating
Mara,Tarime Dc,125113-1,CEDARS HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Mbozi Dc,125112-3,JERUSALEM,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Mvomero Dc,125111-5,NARAI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Kagera,Muleba Dc,125110-7,PAMU,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dodoma,Mpwapwa Dc,125109-9,LUCAS,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Shinyanga,Ushetu Dc,125108-1,BIKIRA MARIA MAMA WA MATESO,Medical Clinic,Kliniki,Private,Faith Based Organization (FBO),Operating
Dodoma,Mpwapwa Dc,125107-3,HOPE AND GRACE,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,125106-5,DR GARANG IVF AND ENDOSCOPY INSTITUTE,Super Specialised Clinic,Kliniki,Private,Company/Business Name,Operating
Songwe,Mbozi Dc,125105-7,SAM,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,125104-0,MJOLI MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,125103-2,UNIFA KEKO MWANGA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Morogoro,Mvomero Dc,125102-4,ELITECARE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Ilala Mc,125101-6,AVISON,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,Company/Business Name,Operating
Morogoro,Gairo Dc,125100-8,UHUSU,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Kigamboni Mc,125099-2,JUNAIDI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Gairo Dc,125098-4,HIGHLAND,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,125097-6,ST.DORINE MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dar Es Salaam,Temeke Mc,125096-8,MP,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mwanza,Buchosa Dc,125095-0,TRUSTED HEALTH MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Mbozi Dc,125094-3,MOON SOUL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Geita,Geita Dc,125093-5,JONAH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Katavi,Mlele Dc,125091-9,MARIDADI MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Kilosa Dc,125090-1,AVIELA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,125089-3,HALIFA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Mbozi Dc,125088-5,VUNGU,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Mbozi Dc,125087-7,NEW RISING HOPE MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,125086-9,MAPUNDA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,125085-1,RICH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Morogoro Dc,125084-4,LUKANZA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,125083-6,KISH MEDICAL HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Gairo Dc,125082-8,CHAKWALE,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,125081-0,SAINT CATHERINE OF SIENA,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Morogoro,Kilosa Dc,125080-2,BLESS,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,125079-4,SAINT YOSEPHA,Level IA1 (Health Center Laboratory),Kituo cha Afya,Private,Company/Business Name,Operating
Geita,Geita Dc,125078-6,MKAHAKI,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Simiyu,Itilima Dc,125077-8,GIAN,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Songwe,Tunduma Tc,125076-0,MAKAMBINI MEDICAL,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Mara,Bunda Dc,125074-5,BINETE HEALTH,Level IA2 (Dispensary Laboratory),Maabara (Laboratory),Private,For Profit,Operating
Dodoma,Dodoma Cc,125070-3,OPTIVIEW,Specialised Clinic,Kliniki,Private,Company/Business Name,Operating
Singida,Manyoni Dc,125069-5,ST PETER,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Mwanza,Sengerema Dc,125068-7,SIVIERI MARRAJENI,Health Center,Kituo cha Afya,Private,Faith Based Organization (FBO),Operating
Morogoro,Morogoro Dc,125067-9,AL JAZEERA,Dispensary,Zahanati (Dispensary),Private,For Profit,Operating
Iringa,Iringa Dc,125065-3,MAHUNINGA,Health Center,Kituo cha Afya,Public,LGA,Operating
Dar Es Salaam,Kinondoni Mc,125062-0,CAPITAL,Basic Dental Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125054-7,TAMALAKI,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Tabora,Tabora Dc,125053-9,MLIMANI CITY,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Iringa,Iringa Dc,125052-1,FRANCESCO CAGLIERO,Dispensary,Zahanati (Dispensary),Private,Faith Based Organization (FBO),Operating
Dar Es Salaam,Ilala Mc,125051-3,LIGLA,Specialized Polyclinic,Kliniki,Private,For Profit,Operating
Dar Es Salaam,Kinondoni Mc,125050-5,PEAN TEGETA,Specialised Dental Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Kinondoni Mc,125049-7,CLARIS,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Temeke Mc,125048-9,NEW GRACE RBB,Medical Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Ilala Mc,125047-1,NZASA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Dar Es Salaam,Ilala Mc,125044-8,ZAVALA,Dispensary,Zahanati (Dispensary),Public,LGA,Operating
Tabora,Igunga Dc,125041-4,NAMBA SITA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Ilala Mc,125040-6,MAMA CARE,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Temeke Mc,125039-8,MORCEP,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Ilala Mc,125038-0,NEGOSIMA,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Ilala Mc,125037-2,MIMO,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Temeke Mc,125036-4,AABY-GILLAH,Specialized Polyclinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Ilala Mc,125035-6,NIDD,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Dar Es Salaam,Temeke Mc,125034-9,CHAMA,Basic Dental Clinic,Kliniki,Private,Company/Business Name,Operating
Dar Es Salaam,Ilala Mc,125033-1,NORVICK,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Coast,Kibaha Dc,125032-3,JASME HEALTH CARE,Dispensary,Zahanati (Dispensary),Private,Company/Business Name,Operating
Tabora,Tabora Dc,125031-5,BUTANWA,Basic Dental Clinic,Kliniki,Private,Company/Business Name,Operating
Mwanza,Ilemela Mc,125030-7,KILIMANJARO MEDICAL CENTRE,Health Center,Kituo cha Afya,Private,Company/Business Name,Operating
