code,name
PS0104005,GELAI BOMBA PRIMARY SCHOOL
PS0104006,GELAI LUMBWA PRIMARY SCHOOL
PS0104049,GREEN EDEN PRIMARY SCHOOL
PS0104054,ILCHANG'SAPUKIN PRIMARY SCHOOL
PS0104007,ILOIRIENITO PRIMARY SCHOOL
PS0104068,IRKASWA 'B' PRIMARY SCHOOL
PS0104024,IRKASWA PRIMARY SCHOOL
PS0104032,IRNG'ONG'WEN PRIMARY SCHOOL
PS0104056,JEONDONG ENGASURAI PRIMARY SCHOOL
PS0104055,JEONDONG IMATIAN PRIMARY SCHOOL
PS0104008,KAMWANGA PRIMARY SCHOOL
PS0104052,KARAO PRIMARY SCHOOL
PS0104009,KETUMBEINE PRIMARY SCHOOL
PS0104010,KIMOKOUWA PRIMARY SCHOOL
PS0104040,KIMWATI PRIMARY SCHOOL
PS0104011,KISERIAN PRIMARY SCHOOL
PS0104030,KITARINI PRIMARY SCHOOL
PS0104021,KITENDENI PRIMARY SCHOOL
PS0104012,LERANG'WA PRIMARY SCHOOL
PS0104041,LESING'ITA PRIMARY SCHOOL
PS0104050,LONGIDO MODERN PRIMARY SCHOOL
PS0104013,LONGIDO PRIMARY SCHOOL
PS0104057,LOONDOLWA PRIMARY SCHOOL
PS0104042,LOPOLOSEK PRIMARY SCHOOL
PS0104022,LOSIRWA PRIMARY SCHOOL
PS0104046,MAASAI PRIMARY SCHOOL
PS0104033,MAGADINI PRIMARY SCHOOL
PS0104037,MAIROWA INTERGRITY PRIMARY SCHOOL
PS0104043,MANGULA PRIMARY SCHOOL
PS0104065,MASAI LAND PRIMARY SCHOOL
PS0104014,MATALE PRIMARY SCHOOL
PS0104051,MELOC PRIMARY SCHOOL
PS0104015,MUNDARARA PRIMARY SCHOOL
PS0104058,NAADARE PRIMARY SCHOOL
PS0104048,NAIBORSOIT PRIMARY SCHOOL
PS0104016,NAMANGA PRIMARY SCHOOL
PS0104060,NAMELOK PRIMARY SCHOOL
PS0104038,NEW VISION ENGIKARET PRIMARY SCHOOL
PS0104017,NGEREYANI PRIMARY SCHOOL
PS0104027,NGOSWAK PRIMARY SCHOOL
PS0104025,NOONDOTO PRIMARY SCHOOL
PS0104026,OLCHORONYOKIE PRIMARY SCHOOL
PS0104018,OLMOLOG PRIMARY SCHOOL
PS0104047,OLMOTI PRIMARY SCHOOL
PS0104044,OLTEPES PRIMARY SCHOOL
PS0104035,ORBOMBA PRIMARY SCHOOL
PS0104053,ORMEE  PRIMARY SCHOOL
PS0104039,RANCH PRIMARY SCHOOL
PS0104028,SINONIK PRIMARY SCHOOL
PS0104019,SINYA PRIMARY SCHOOL
PS0104045,SOKON PRIMARY SCHOOL
PS0104034,ST THERESA PRIMARY SCHOOL
PS0104020,TINGATINGA PRIMARY SCHOOL
PS0105157,AKERI HOPE PRIMARY SCHOOL
PS0105001,AKERI PRIMARY SCHOOL
PS0105188,ALBERT THE GREAT PRIMARY SCHOOL
PS0105002,AMANI PRIMARY SCHOOL
PS0105003,AMBURENI PRIMARY SCHOOL
PS0105159,ANGAZA LUTHERAN PRIMARY SCHOOL
PS0105153,BETHLEHEM STAR PRIMARY SCHOOL
PS0105161,BLUE SKY PRIMARY SCHOOL
PS0105136,CAPRICORN PRIMARY SCHOOL
PS0105004,CHEMCHEM PRIMARY SCHOOL
PS0105133,CHERITH JUNIOR PRIMARY SCHOOL
PS0105109,DAVIS PREPARATORY PRIMARY SCHOOL
PS0105151,DESTINY PRIMARY SCHOOL
PS0105140,DIAMOND PRIMARY SCHOOL
PS0105005,DOLLY PRIMARY SCHOOL
PS0105148,EAST MERU COMMUNITY  PRIMARY SCHOOL
PS0105119,ELIZABETH CENTRE PRIMARY SCHOOL
PS0105006,EMMANUEL PRIMARY SCHOOL
PS0105007,ENGATANI PRIMARY SCHOOL
PS0105100,ENGEJISOSIA PRIMARY SCHOOL
PS0105122,ENYORATA PRIMARY SCHOOL
PS0105132,ESTHA MEMORIAL ACADEMY PRIMARY SCHOOL
PS0105008,ETINGARE PRIMARY SCHOOL
PS0105175,FAYE CRANE CHEMCHEM PRIMARY SCHOOL
PS0105009,FIKIRIA KWANZA PRIMARY SCHOOL
PS0105154,GRACE ULONG'A PRIMARY SCHOOL
PS0105112,HARADALI PRIMARY SCHOOL
PS0105162,HOLY PEAK PRIMARY SCHOOL
PS0105010,ILKIRIMUNI PRIMARY SCHOOL
PS0105011,IMBASENI PRIMARY SCHOOL
PS0105137,IMBASSENY PEACE PRIMARY SCHOOL
PS0105165,JALIGREEN PRIMARY SCHOOL
PS0105167,JOY'S MILLENIUM PRIMARY SCHOOL
PS0105111,KALOLENI PRIMARY SCHOOL
PS0105012,KANDASHE PRIMARY SCHOOL
PS0105013,KARANGAI PRIMARY SCHOOL
PS0105172,KERIKENY PRIMARY SCHOOL
PS0105014,KIKATITI PRIMARY SCHOOL
PS0105042,KIKULETWA PRIMARY SCHOOL
PS0105015,KIKWE PRIMARY SCHOOL
PS0105016,KILIMANI PRIMARY SCHOOL
PS0105017,KILINGA PRIMARY SCHOOL
PS0105123,KIMANDAFU PRIMARY SCHOOL
PS0105018,KIMOSONU PRIMARY SCHOOL
PS0105019,KIMUNDO PRIMARY SCHOOL
