code,name
S.0613,NYAMPULUKANO SECONDARY SCHOOL
S.0614,NYERERE SECONDARY SCHOOL
S.0615,KIRANGARE SECONDARY SCHOOL
S.0616,MWANDIGA SECONDARY SCHOOL
S.0617,LUSANGA SECONDARY SCHOOL
S.0618,LUPALILO SECONDARY SCHOOL
S.0619,MGETA SECONDARY SCHOOL
S.0622,KUNDUCHI GIRLS' ISLAMIC HIGH SCHOOL
S.0624,RUBALE SECONDARY SCHOOL
S.0625,BALANGDALALU SECONDARY SCHOOL
S.0627,KIDELEKO SECONDARY SCHOOL
S.0628,KIRONGAYA SECONDARY SCHOOL
S.0629,EDMUND-RICE-SINON SECONDARY SCHOOL
S.0630,NYEGINA SECONDARY SCHOOL
S.0631,UMOJA SECONDARY SCHOOL
S.0632,BONDENI SECONDARY SCHOOL
S.0633,TALLO SECONDARY SCHOOL
S.0635,MSUFINI SECONDARY SCHOOL
S.0636,ZOISSA SECONDARY SCHOOL
S.0637,NYABIYONZA SECONDARY SCHOOL
S.0638,BUNAZI SECONDARY SCHOOL
S.0639,UDZUNGWA SECONDARY SCHOOL
S.0640,MBALIZI SECONDARY SCHOOL
S.0641,MEATU SECONDARY SCHOOL
S.0643,DAREDA SECONDARY SCHOOL
S.0645,VITUKA SECONDARY SCHOOL
S.0647,NGARENANYUKI SECONDARY SCHOOL
S.0648,MASASI DAY SECONDARY SCHOOL
S.0649,MKWESE SECONDARY SCHOOL
S.0651,UKUMBI SECONDARY SCHOOL
S.0652,POMERINI SECONDARY SCHOOL
S.0653,MWAKAVUTA SECONDARY SCHOOL
S.0654,RWAMBAIZI SECONDARY SCHOOL
S.0655,KIFANYA SECONDARY SCHOOL
S.0656,LYAMAHORO SECONDARY SCHOOL
S.0657,NYANSHENYE SECONDARY SCHOOL
S.0658,MWAMAPALALA SECONDARY SCHOOL
S.0659,KIBENGU SECONDARY SCHOOL
S.0661,ISENYE SECONDARY SCHOOL
S.0662,MWANZI SECONDARY SCHOOL
S.0663,SANGITI SECONDARY SCHOOL
S.0664,MANGIO SECONDARY SCHOOL
S.0665,MWEMBENI SECONDARY SCHOOL
S.0666,BADRI SECONDARY SCHOOL
S.0667,NYAISHOZI SECONDARY SCHOOL
S.0669,UTETE SECONDARY SCHOOL
S.0670,NYANG'HWALE SECONDARY SCHOOL
S.0671,UBUNGO ISLAMIC HIGH SCHOOL
S.0672,MKWAKWANI SECONDARY SCHOOL
S.0675,MBUGWE SECONDARY SCHOOL
S.0676,MABIRA SECONDARY SCHOOL
S.0677,TANDAHIMBA SECONDARY SCHOOL
S.0678,MUGANGO SECONDARY SCHOOL
S.0679,KIMANDOLU SECONDARY SCHOOL
S.0680,MWAZYE SECONDARY SCHOOL
S.0681,IVUMWE SECONDARY SCHOOL
S.0682,MPOROTO SECONDARY SCHOOL
S.0683,KALENGA SECONDARY SCHOOL
S.0685,NAMABENGO SECONDARY SCHOOL
S.0686,CHATO SECONDARY SCHOOL
S.0687,KIKATITI SECONDARY SCHOOL
S.0688,MSAKILA SECONDARY SCHOOL
S.0689,ENDASAK SECONDARY SCHOOL
S.0690,ITUNDU SECONDARY SCHOOL
S.0692,ROSMINI SECONDARY SCHOOL
S.0693,MANYARA SECONDARY SCHOOL
S.0694,KANGA SECONDARY SCHOOL
S.0696,TUNDUMA SECONDARY SCHOOL
S.0697,KIGWE SECONDARY SCHOOL
S.0701,KARANGAI SECONDARY SCHOOL
S.0702,IKWIRIRI SECONDARY SCHOOL
S.0704,NSHAMBA SECONDARY SCHOOL
S.0705,LUPILA SECONDARY SCHOOL
S.0706,KALANGALALA SECONDARY SCHOOL
S.0707,KITETO SECONDARY SCHOOL
S.0708,KIPINGO SECONDARY SCHOOL
S.0709,BUKONGO SECONDARY SCHOOL
S.0710,BINZA SECONDARY SCHOOL
S.0711,KITOMONDO SECONDARY SCHOOL
S.0712,BARIADI SECONDARY SCHOOL
S.0713,IGUNGA SECONDARY SCHOOL
S.0714,KABUKU SECONDARY SCHOOL
S.0715,ILONGERO SECONDARY SCHOOL
S.0716,MALECELA SECONDARY SCHOOL
S.0717,LAELA SECONDARY SCHOOL
S.0718,NYANSINCHA SECONDARY SCHOOL
S.0719,MASONGA SECONDARY SCHOOL
S.0720,MPITIMBI SECONDARY SCHOOL
S.0722,SAHARE SECONDARY SCHOOL
S.0723,BOLOTI SECONDARY SCHOOL
S.0725,ST. NEWMAN SECONDARY SCHOOL
S.0726,MBEKENYERA SECONDARY SCHOOL
S.0727,MKWAJUNI SECONDARY SCHOOL
S.0729,MSOLWA ST. GASPARE BERTONI SECONDARY SCHOOL
S.0731,MAKONGO SECONDARY SCHOOL
S.0732,MAHILO SECONDARY SCHOOL
S.0733,IGURUSI SECONDARY SCHOOL
S.0734,MATEKWE SECONDARY SCHOOL
S.0735,KATUMBA SECONDARY SCHOOL
S.0738,RIDHWAA SEMINARY
S.0739,HIJRA SEMINARY
S.0740,ALI HASSAN MWINYI ISL. SECONDARY SCHOOL
S.0741,ITENDE SECONDARY SCHOOL
S.0742,BULONGWA SECONDARY SCHOOL
S.0743,KAMBARAGE SECONDARY SCHOOL
S.0744,NANGA SECONDARY SCHOOL
S.0745,TEMBELA SECONDARY SCHOOL
S.0746,MNYAMBE SECONDARY SCHOOL
S.0747,MLALO SECONDARY SCHOOL
S.0748,KAWAWA SECONDARY SCHOOL
S.0749,KAMSAMBA SECONDARY SCHOOL
S.0750,OSHARA SECONDARY SCHOOL
S.0751,RUHUWIKO SECONDARY SCHOOL
S.0752,RUNZEWE SECONDARY SCHOOL
S.0753,BIIRABO SECONDARY SCHOOL
S.0754,URAMBO DAY SECONDARY SCHOOL
S.0755,MUKULAT SECONDARY SCHOOL
S.0756,MURUTUNGURU SECONDARY SCHOOL
S.0757,KYELA SECONDARY SCHOOL
S.0758,KIJOTA SECONDARY SCHOOL
S.0759,GAIRO SECONDARY SCHOOL
S.0760,BUKOLI SECONDARY SCHOOL
S.0761,BWISYA SECONDARY SCHOOL
S.0762,KOME SECONDARY SCHOOL
S.0763,NGANA SECONDARY SCHOOL
S.0764,IZIGO SECONDARY SCHOOL
S.0765,UNYANYEMBE SECONDARY SCHOOL
S.0766,KIMAMBA SECONDARY SCHOOL
S.0767,MVOMERO SECONDARY SCHOOL
S.0768,ST. BENEDICT SECONDARY SCHOOL
S.0769,MALAGARASI SECONDARY SCHOOL
S.0770,SUMVE SECONDARY SCHOOL
S.0771,ASKOFU ADRIAN MKOBA SECONDARY SCHOOL
S.0772,ISEVYA SECONDARY SCHOOL
S.0774,LUPA SECONDARY SCHOOL
S.0775,DUMILA SECONDARY SCHOOL
S.0776,MITOLE SECONDARY SCHOOL
S.0778,SONGE SECONDARY SCHOOL
S.0779,RUKINDO SECONDARY SCHOOL
S.0780,KALOLENI ISLAMIC SEMINARY
S.0781,ARUSHA DAY SECONDARY SCHOOL
S.0782,MWIKA SECONDARY SCHOOL
S.0783,BEREKO SECONDARY SCHOOL
S.0784,AIRWING SECONDARY SCHOOL
S.0786,NDONO SECONDARY SCHOOL
S.0787,MSANGENI SECONDARY SCHOOL
S.0788,BUTURI SECONDARY SCHOOL
S.0789,NGULU SECONDARY SCHOOL
S.0791,KIGAMBONI SECONDARY SCHOOL
S.0792,MANGAKA SECONDARY SCHOOL
S.0793,MALINDI SECONDARY SCHOOL
S.0794,KINYALA SECONDARY SCHOOL
S.0795,KISALE SECONDARY SCHOOL
S.0799,MONDO SECONDARY SCHOOL
S.0800,LOYOLA SECONDARY SCHOOL
S.0801,MATOLA SECONDARY SCHOOL
S.0802,MAKANYA SECONDARY SCHOOL
S.0803,IYULA SECONDARY SCHOOL
S.0804,D.C.T. MVUMI SECONDARY SCHOOL
S.0805,LUKULEDI SECONDARY SCHOOL
S.0806,CITY SECONDARY SCHOOL
S.0808,MAZINDE DAY SECONDARY SCHOOL
S.0809,MAMBA SECONDARY SCHOOL
S.0810,CHARYA SECONDARY SCHOOL
S.0811,KIFARU SECONDARY SCHOOL
S.0812,MAHIWA SECONDARY SCHOOL
S.0813,MAHIDA SECONDARY SCHOOL
S.0815,MBINGA SECONDARY SCHOOL
S.0816,KISELU SECONDARY SCHOOL
S.0817,PAUL BOMANI SECONDARY SCHOOL
S.0818,TARAKEA SECONDARY SCHOOL
S.0819,KIBAO SECONDARY SCHOOL
S.0820,MKUZI SECONDARY SCHOOL
S.0821,NYANDUGA SECONDARY SCHOOL
S.0824,IDETE SECONDARY SCHOOL
S.0825,MUDIO ISLAMIC SEMINARY
S.0826,MALAMPAKA SECONDARY SCHOOL
S.0827,MASONYA SECONDARY SCHOOL
S.0828,MUBONDO SECONDARY SCHOOL
S.0829,MAARIFA TANDIKA SECONDARY SCHOOL
S.0830,MASIMBWE SECONDARY SCHOOL
S.0831,NANGWANDA GIRLS' SECONDARY SCHOOL
S.0836,KILUVYA SECONDARY SCHOOL
S.0837,SELOUS SECONDARY SCHOOL
S.0838,KANYIGO MUSLIM SEMINARY
S.0839,NGERENGERE DAY SECONDARY SCHOOL
S.0840,ISMANI SECONDARY SCHOOL
S.0841,HUMURA SECONDARY SCHOOL
